SMILES,Scaffold,R-groups,NLL
COc1cc(OC23CC4CC(CC(C4)C2)C3)c(CN2CCCCC2)cc1OC1CC[N:0]([CH2:0]O)CC1,C(O)[*],c1(OC2CCN(*)CC2)c(OC)cc(OC23CC4CC(CC(C4)C2)C3)c(CN2CCCCC2)c1,30.629432678222656
COc1ccc(CCc2c(NC(=O)Oc3cc(Cl)cc(CN)c3C(=O)CN(C)C(=O)c3ccc([O:0][CH2:0]O)cc3)cc(O)cc2C(=O)O)cc1OC,C(O)[*],CN(C(c1ccc(O*)cc1)=O)CC(c1c(OC(Nc2c(CCc3cc(OC)c(OC)cc3)c(C(=O)O)cc(O)c2)=O)cc(Cl)cc1CN)=O,54.81421661376953
NC[CH2:0][CH2:0]O,C(O)[*],C(CN)*,9.107956886291504
COc1cc(OC)c([O:0][CH2:0]O)c(C(O)COc2ccc(OC)c(OC)c2)c1,C(O)[*],c1c(OCC(O)c2c(O*)c(OC)cc(OC)c2)cc(OC)c(OC)c1,25.961027145385742
O[CH2:0][O:0]CC(Cl)(Cl)Cl,C(O)[*],ClC(CO*)(Cl)Cl,11.008976936340332
Cc1nc2c(Cc3cc(F)cc(F)c3)cc(COC3CCCC3[NH:0][CH2:0]O)n2c(N2CCC(O)CC2)c1C,C(O)[*],C1CCC(N*)C1OCc1n2c(N3CCC(O)CC3)c(C)c(C)nc2c(Cc2cc(F)cc(F)c2)c1,46.087890625
CCCc1c(COc2cc([O:0][CH2:0]O)c(OC)c(C(=O)O)c2)cc(OC)c(C(=O)Nc2cc(C(=O)CCC(=O)O)ccc2O)c1O,C(O)[*],c1c(O*)c(OC)c(C(=O)O)cc1OCc1c(CCC)c(O)c(C(=O)Nc2cc(C(CCC(=O)O)=O)ccc2O)c(OC)c1,43.54439163208008
CCCCC1(C=O)OCN(c2c([O:0][CH2:0]O)c(Cl)cc(CC3NS(=O)(=O)N(CCC(C)(C)N4CCSCC4O)C3=O)c(=O)c2O)C1C,C(O)[*],C1N(c2c(O*)c(Cl)cc(CC(NS(N3CCC(N4CCSCC4O)(C)C)(=O)=O)C3=O)c(=O)c2O)C(C)C(CCCC)(C=O)O1,63.11103439331055
CN(C)CCc1cccc(OC2CCN(Cc3cc(F)cc(NC(=O)c4c(O)cc(O)cc4S(=O)(=O)[NH:0][CH2:0]O)c3Cl)CC2)c1,C(O)[*],O=S(N*)(=O)c1c(C(=O)Nc2c(Cl)c(CN3CCC(Oc4cc(CCN(C)C)ccc4)CC3)cc(F)c2)c(O)cc(O)c1,43.64979553222656
CCc1c(CN(CC)CCc2cc(Cl)cc(Br)c2CN2CCSCC2)cc(=O)c(O)c(C(C)[NH:0][CH2:0]O)c1O,C(O)[*],CC(N*)c1c(O)c(=O)cc(CN(CCc2c(CN3CCSCC3)c(Br)cc(Cl)c2)CC)c(CC)c1O,54.87660598754883
COc1cc(C(=O)NC2CSCC2N)ccc1OCc1ccc(OC)c(OC)c1[O:0][CH2:0]O,C(O)[*],c1c(OCc2c(O*)c(OC)c(OC)cc2)c(OC)cc(C(=O)NC2C(N)CSC2)c1,29.293569564819336
C=CCc1cccc(CC[NH:0][CH2:0]O)c1N=C(N)N1CCCN(C2=C(c3ccccc3[N+](=O)[O-])C2Cl)CC1,C(O)[*],*NCCc1c(N=C(N2CCN(c3c(-c4ccccc4[N+](=O)[O-])C3Cl)CCC2)N)c(CC=C)ccc1,58.1386604309082
Cc1ccccc1CS(=O)(=O)NC(c1ccc(OCC(=O)O)c(-c2cc(C)c([O:0][CH2:0]O)c(CCCCC3CCS3)c2O)c1O)c1cccc(O)c1N=[N+]=[N-],C(O)[*],c1(OCC(O)=O)c(-c2cc(C)c(O*)c(CCCCC4SCC4)c2O)c(O)c(C(NS(Cc2c(C)cccc2)(=O)=O)c2cccc(O)c2N=[N+]=[N-])cc1,57.49883270263672
N#Cc1cc(F)cc(C2(C(=O)NCC(=O)O)CCC[CH:0]([CH2:0]O)CC2)c1,C(O)[*],C1CC(C(NCC(=O)O)=O)(c2cc(C#N)cc(F)c2)CCC(*)C1,30.088226318359375
