SMILES,Scaffold,R-groups,NLL
C[NH:0][CH:0]1CCN2CCc3cc4c(cc3C3C[C:1]([C:1]#N)=CC132)OCO4,C1C([*])C23N(CCc4cc5c(cc4C2CC([*])=C3)OCO5)C1,N(*)C|N#C*,7.63974142074585
[CH3:0][CH:0]1CN2CCc3cc4c(cc3C3C[C:1]([C:1]#N)=CC32C1)OCO4,C123CC([*])CN1CCc1cc4c(cc1C2CC([*])=C3)OCO4,*C|*C#N,2.6261672973632812
N#[C:1][C:1]1=CC23CC[CH:0]([NH2:0])N2CCc2cc4c(cc2C3C1)OCO4,c12cc3c(cc1CCN1C([*])CCC14C=C([*])CC24)OCO3,*N|N#C*,4.975341796875
COc1c[c:1]([CH:1]2Cc3cc4c(cc3C3C[C:0]([C:0]#N)=CC35CCCN52)OCO4)cc(O)c1OC,C1CN2C3(C=C([*])CC3c3c(cc4c(c3)OCO4)CC2[*])C1,N#C*|COc1cc(*)cc(O)c1OC,10.357707023620605
N#[C:0][C:0]1=CC23CCCN2C[CH:1]([CH2:1]Cl)c2cc4c(cc2C3C1)OCO4,C1=C([*])CC2c3c(cc4c(c3)OCO4)C([*])CN3CCCC123,*C#N|ClC*,5.849292278289795
COc1ccc[c:0](-[c:0]2c3c(cc4c2OCO4)C2C[C:1]([C:1]#N)=CC24CCCN4CC3)c1OC,C1Cc2c(cc3c(c2[*])OCO3)C2CC([*])=CC23CCCN13,COc1c(OC)c(*)ccc1|N#C*,9.621663093566895
[CH3:0][c:0]1c2c(cc3c1C1C[C:1]([C:1]#N)=CC14CCCN4CC3)OCO2,C12c3c([*])c4c(cc3CCN3CCCC13C=C([*])C2)OCO4,C*|C(#N)*,3.4601452350616455
N#[C:0][C:0]1=CC23CCCN2CCc2cc4c(cc2[C:1]3([CH3:1])C1)OCO4,C123C=C([*])CC1([*])c1c(cc4c(c1)OCO4)CCN2CCC3,N#C*|C*,1.8482935428619385
CCCOc1cc[c:0]([CH:0]2C3c4cc5c(cc4CCN4CCCC34C=[C:1]2[C:1]#N)OCO5)cc1,C1Oc2c(cc3c(c2)CCN2CCCC24C3C([*])C([*])=C4)O1,c1(*)ccc(OCCC)cc1|*C#N,10.344544410705566
CCO[C:0](C)(C)[CH:0]1Oc2cc3c(cc2O1)C1C[C:1]([C:1]#N)=CC12CCCN2CC3,c1c2c(cc3c1OC([*])O3)C1C3(CCCN3CC2)C=C([*])C1,C(C)OC(*)(C)C|N#C*,9.673555374145508
CC[CH2:0][CH:0]1CCN2CCc3cc4c(cc3C3CC=[C:1]([CH:1](C)O)C132)OCO4,[*]C1C23N(CC1)CCc1cc4c(cc1C2CC=C3[*])OCO4,CCC*|OC(*)C,14.280617713928223
N#[C:0][C:0]1=CCC2c3cc4c(cc3CCN3C[CH:1]([CH3:1])CC123)OCO4,C1C=C([*])C23C1c1cc4c(cc1CCN2CC([*])C3)OCO4,*C#N|C*,2.748091459274292
N#[C:0][C:0]1=CCC2c3cc4c(cc3CCN3C12CC[CH:1]3[N:1]1CCC(NC=O)C1)OCO4,c1c2c(cc3c1CCN1C4(C([*])=CCC34)CCC1[*])OCO2,*C#N|O=CNC1CN(*)CC1,16.19944190979004
