SMILES,Scaffold,R-groups,NLL
[CH3:0][CH:0]1CCN2CCc3cc4c(cc3C3C[C:2]([C:2]#N)=[C:1]([CH3:1])C132)OCO4,C1C([*])C23C([*])=C([*])CC2c2cc4c(cc2CCN3C1)OCO4,*C|C*|*C#N,4.407463550567627
[CH3:0][CH:0]1CN2CCc3cc4c(cc3C3C[C:2]([c:2]5c[nH]c6ccccc65)=[C:1]([C:1](=O)c5ccc(O)cc5)C32C1)OCO4,C12C3(N(CCc4cc5c(cc41)OCO5)CC([*])C3)C([*])=C([*])C2,*C|c1(O)ccc(C(*)=O)cc1|*c1c[nH]c2c1cccc2,20.24879264831543
N#[C:0][C:0]1=[C:1]([c:1]2ccc[nH]2)C23CC[CH:2]([NH2:2])N2CCc2cc4c(cc2C3C1)OCO4,C1C([*])=C([*])C23C1c1cc4c(cc1CCN2C([*])CC3)OCO4,*C#N|c1cc[nH]c1*|N*,18.287626266479492
COc1cc(OC)c[c:0]([CH:0]2Cc3cc4c(cc3C3C[C:1]([C:1]#N)=[C:2]([C:2]#N)C35CCCN25)OCO4)c1,[*]C1Cc2cc3c(cc2C2CC([*])=C([*])C24N1CCC4)OCO3,c1c(OC)cc(OC)cc1*|*C#N|*C#N,12.236638069152832
C#[C:2][C:2]1=[C:1]([CH:1]2C(=O)C(N)=C(OC)c3cc(OC)c(OC)c(OC)c32)C23CCCN2CCc2c(cc4c([c:0]2[CH3:0])OCO4)C3C1,c12cc3c(c([*])c1CCN1CCCC14C([*])=C([*])CC24)OCO3,C*|c1(OC)c(OC)c(OC)cc2c1C(*)C(=O)C(N)=C2OC|*C#C,30.432069778442383
C[N:2](C)[c:2]1c2c(cc3c1C1C[C:0]([C:0]#N)=[C:1]([CH:1]=O)C14CCCN4CC3)OCO2,C1([*])=C([*])C23N(CCc4c(c([*])c5c(c4)OCO5)C2C1)CCC3,*C#N|*C=O|CN(C)*,10.61768913269043
CC[CH2:2][C:2]12C[C:1]([C:1]#N)=[C:0]([C:0]#N)C13CCCN3CCc1cc3c(cc12)OCO3,C1([*])=C([*])CC2([*])C13CCCN3CCc1cc3c(cc12)OCO3,C(*)#N|C(*)#N|*CCC,7.629906177520752
C[CH2:0][C:0]1=[C:1]([c:1]2ccc(OC)c(OC)c2)[CH:2]([c:2]2ccccc2)C2c3cc4c(cc3CCN3CCCC123)OCO4,C1Oc2cc3c(cc2O1)C1C2(CCCN2CC3)C([*])=C([*])C1[*],*CC|O(c1ccc(*)cc1OC)C|c1c(*)cccc1,16.42099380493164
CCOC(=O)N1CC[C:2](O)([C:2]2=[C:1]([C:1](=O)OCC)C34CCCN3CCc3cc5c(cc3C4C2)O[CH:0]([O:0]CC)O5)C1,[*]C1Oc2c(cc3c(c2)CCN2C4(CCC2)C([*])=C([*])CC43)O1,CCO*|O=C(OCC)*|N1(C(OCC)=O)CC(*)(O)CC1,23.31216049194336
C[CH2:2][CH:2]1CN2CCc3cc4c(cc3C3C[C:0]([C:0]#N)=CC32[CH:1]1[CH3:1])OCO4,C1=C([*])CC2c3c(cc4c(c3)OCO4)CCN3C12C([*])C([*])C3,*C#N|C*|*CC,5.695559501647949
[CH3:0][CH:0]1C[CH:1]([CH3:1])N2CCc3cc4c(cc3C3C[C:2]([C:2]#N)=CC132)OCO4,O1COc2c1cc1c(c2)CCN2C3(C([*])CC2[*])C1CC([*])=C3,C*|C*|N#C*,3.4289443492889404
CO[C:1](=O)[C:1]1=CC23C(C1)c1cc4c(cc1C[CH:0]([NH2:0])N2CC[CH:2]3[NH2:2])OCO4,c12cc3c(cc1CC([*])N1C4(C=C([*])CC24)C([*])CC1)OCO3,*N|C(=O)(*)OC|*N,12.722262382507324
N#[C:1][C:1]1=CC23C(C1)c1cc4c(cc1[CH:0]([CH2:0]Cl)CN2CC[CH:2]3[CH3:2])OCO4,O1c2c(cc3c(c2)C([*])CN2C4(C3CC([*])=C4)C([*])CC2)OC1,ClC*|N#C*|*C,5.1206183433532715
N#[C:1][C:1]1=CC23C(C1)c1cc4c([c:0]([CH2:0]c5c[nH]c6ccccc56)c1CCN2CC[CH:2]3[CH3:2])OCO4,[*]c1c2c(cc3c1OCO3)C1CC([*])=CC13C([*])CCN3CC2,C(c1c[nH]c2ccccc12)*|N#C*|C*,14.337780952453613
COc1cc(O)cc2[nH]c[c:0]([CH:0]3CCN4CCc5cc6c([c:1]([CH:1]7C8CCC(C8)C7(C)C)c5C5C[C:2]([C:2]#N)=CC354)OCO6)c12,[*]C1CCN2CCc3cc4c(c([*])c3C3CC([*])=CC132)OCO4,c12[nH]cc(*)c1c(OC)cc(O)c2|CC1(C)C(*)C2CCC1C2|*C#N,28.358060836791992
[CH3:0][C:0]12C[C:1]([C:1]#N)=CC13N(CCc1cc4c(cc12)OCO4)CC[CH:2]3[CH3:2],N12CCc3cc4c(cc3C3([*])CC([*])=CC13C([*])CC2)OCO4,*C|C(*)#N|C*,3.437401533126831
