SMILES,Warheads,Linker,NLL
Cc1sc(NC(=O)NCc2cccc(-c3cncc(O)c3)c2)nc1C1CCN(Cc2ccc(CO)cc2)CC1,c1c(*)cc(O)cn1|*CO,c1(C)sc(NC(=O)NCc2cc([*])ccc2)nc1C1CCN(Cc2ccc([*])cc2)CC1,19.405162811279297
O=C(NCCc1ccc(Cl)c(C=Cc2ccc(C=CCO)cc2)c1)c1ccc(Cc2cncc(O)c2)c(O)c1,c1c(*)cc(O)cn1|*CO,C(c1c(Cl)ccc(CCNC(c2cc(O)c(C[*])cc2)=O)c1)=Cc1ccc(C=C[*])cc1,36.30836868286133
CC(CCc1cncc(O)c1)n1cnc(C#Cc2ccc(Cl)c(C(C)(C)C3CCCN3C(=O)Cc3ccc(C(CN)NC(=O)c4ccc(C=CCO)s4)cc3)c2)c1,c1c(*)cc(O)cn1|*CO,CC(C)(c1cc(C#Cc2cn(C(C)CC[*])cn2)ccc1Cl)C1CCCN1C(Cc1ccc(C(NC(=O)c2sc(C=C[*])cc2)CN)cc1)=O,49.528316497802734
O=C(c1cccc(C=Cc2cc(Cl)cc(-c3cncc(O)c3)c2)c1)N1CCC(c2cc(=O)c3ccccc3n2Cc2ccc(CO)cc2)C1,c1c(*)cc(O)cn1|*CO,O=C(c1cc(C=Cc2cc(Cl)cc([*])c2)ccc1)N1CC(c2n(Cc3ccc([*])cc3)c3c(cccc3)c(=O)c2)CC1,35.288333892822266
CC1(C(=O)NCc2ccc(NC(=O)c3cc(Cl)cc(-c4cncc(O)c4)c3)cc2Cl)CCc2nc(Cl)cc(C3CC3)c2CN1C(=O)Cc1csc(C#Cc2ccc(CO)cc2)c1,c1c(*)cc(O)cn1|*CO,c1(Cl)cc(NC(=O)c2cc([*])cc(Cl)c2)ccc1CNC(C1(C)CCc2nc(Cl)cc(C3CC3)c2CN1C(Cc1csc(C#Cc2ccc([*])cc2)c1)=O)=O,47.754638671875
Cn1cc(-c2cncc(O)c2)cc1C(=O)NCC(NC(=O)C1(C)CCCN1CC1=CC=C(CN2CCC(c3ccc(CO)cc3)C2)CCC1)c1cccc(Cl)c1,c1c(*)cc(O)cn1|*CO,c1cc(Cl)cc(C(CNC(=O)c2n(C)cc([*])c2)NC(C2(C)N(Cc3ccc(CN4CC(c5ccc([*])cc5)CC4)CCC3)CCC2)=O)c1,35.07100296020508
CC(=O)NC1C(=O)N2Cc3ccccc3CCC2CN(C(=O)CN(C)C(=O)Cc2cncc(O)c2)C1C(=O)NCc1ccc(CN2CCc3cccc(C(=O)Nc4ccc(C=CCO)cc4)c32)cc1,c1c(*)cc(O)cn1|*CO,c1(CNC(C2C(NC(C)=O)C(=O)N3C(CCc4c(cccc4)C3)CN2C(CN(C)C(C[*])=O)=O)=O)ccc(CN2CCc3cccc(C(Nc4ccc(C=C[*])cc4)=O)c32)cc1,55.93474578857422
O=C(C=Cc1ccc(CN2CCCC(C(=O)Nc3ccc(C=CCO)c(Cl)c3)C2)cc1)Nc1nc(-c2cncc(O)c2)cs1,c1c(*)cc(O)cn1|*CO,c1(C=CC(Nc2scc([*])n2)=O)ccc(CN2CC(C(Nc3cc(Cl)c(C=C[*])cc3)=O)CCC2)cc1,21.836050033569336
CN(c1cncc(O)c1)C1CNC(C(=O)Nc2cc(C(=O)Nc3cccc(C(=O)N4CCCN(CCc5ccc(CO)cc5)C4)c3)n(C)c2)C1,c1c(*)cc(O)cn1|*CO,[*]N(C1CNC(C(=O)Nc2cn(C)c(C(=O)Nc3cc(C(N4CCCN(CCc5ccc([*])cc5)C4)=O)ccc3)c2)C1)C,36.817012786865234
Cc1nn(CCO)c(=S)n1N=C1C(Nc2cncc(O)c2)CCCN1Cc1cc(Cl)cc(Cl)c1,c1c(*)cc(O)cn1|*CO,[*]NC1CCCN(Cc2cc(Cl)cc(Cl)c2)C1=Nn1c(=S)n(C[*])nc1C,23.081193923950195
CN(Cc1ccc(C=CCO)c(Cl)c1)C1CC(c2cccc(Cl)c2)N(Cc2cc(Cl)cc(Cn3nc(-c4cncc(O)c4)ccc3=O)c2)C1=O,c1c(*)cc(O)cn1|*CO,c1c(Cn2nc([*])ccc2=O)cc(Cl)cc1CN1C(c2cccc(Cl)c2)CC(N(C)Cc2cc(Cl)c(C=C[*])cc2)C1=O,35.906578063964844
CN1CC(=O)N1CCC1C(NC(=O)c2cccc(NC(=O)c3cccc(CN4CCN(Cc5ccc(C(=O)Nc6ncc(-c7cncc(O)c7)s6)cc5)CC4)c3)c2)=CC2=CC=CC(CO)CCC1N2,c1c(*)cc(O)cn1|*CO,C(c1ccc(C(Nc2ncc([*])s2)=O)cc1)N1CCN(Cc2cccc(C(Nc3cc(C(=O)Nc4cc(NC(C4CCN5C(=O)CN5C)CCC4[*])ccc4)ccc3)=O)c2)CC1,45.72685623168945
OCc1ccc(Cl)cc1CN1CCN(Cc2ccc(COc3cccc(CN4CCOC(Cn5ccc(-c6cncc(O)c6)n5)C(c5cccc(Cl)c5)C4)c3)cc2)CC1,c1c(*)cc(O)cn1|*CO,c1(CN2CCOC(Cn3nc([*])cc3)C(c3cccc(Cl)c3)C2)cccc(OCc2ccc(CN3CCN(Cc4cc(Cl)ccc4[*])CC3)cc2)c1,36.65150451660156
Cc1cc(C)nc(C2CN(Cc3cc(Cl)cc(C#Cc4cc(CN5CCCN(C(=O)C6CC6CO)CC5)ccc4Cl)n3)CCN2C(=O)C(C)NC(=O)Cc2cncc(O)c2)c1,c1c(*)cc(O)cn1|*CO,C1CN(C(C(C)NC(C[*])=O)=O)C(c2nc(C)cc(C)c2)CN1Cc1cc(Cl)cc(C#Cc2cc(CN3CCN(C(C4CC4[*])=O)CCC3)ccc2Cl)n1,39.14739990234375
