SMILES,Warheads,Linker,NLL
CC(C)(C)OC(=O)N(Cc1ccc(-c2cncc(O)c2)cc1)C1CCN(C(=O)c2cccc(Cl)c2)CC1(F)CN1CCC(c2sc(CCO)nc2Cl)CC1,c1(*)cncc(O)c1|OC*,C1(N(C(=O)OC(C)(C)C)Cc2ccc([*])cc2)CCN(C(c2cc(Cl)ccc2)=O)CC1(F)CN1CCC(c2c(Cl)nc(C[*])s2)CC1,34.63933181762695
CC(NC(=O)C1CCC(=O)N1Cc1cc(Cl)ccc1Cl)c1cc(NC(=O)c2ccc(-c3cncc(O)c3)s2)sc1C(=O)N1CCC(c2coc(C3CC3)n2)C(C(=O)N2CCN(Cc3ccc(Cl)c(C#CCO)c3)CC2)C1,c1(*)cncc(O)c1|OC*,O=C(c1sc(NC(=O)c2ccc([*])s2)cc1C(C)NC(C1CCC(=O)N1Cc1cc(Cl)ccc1Cl)=O)N1CCC(c2nc(C3CC3)oc2)C(C(N2CCN(Cc3ccc(Cl)c(C#C[*])c3)CC2)=O)C1,47.62692642211914
CC(C)N1CC(Cc2ccccc2)N(c2ccc(C=CCO)cc2Cl)C1C(=O)N1CCCC1C(=O)NCc1cccc(NC(=O)c2ccc(-c3cncc(O)c3)cc2)c1,c1(*)cncc(O)c1|OC*,N(C(c1ccc([*])cc1)=O)c1cc(CNC(C2CCCN2C(=O)C2N(c3ccc(C=C[*])cc3Cl)C(Cc3ccccc3)CN2C(C)C)=O)ccc1,38.1587028503418
NC1=C(c2ccc(-c3cncc(O)c3)cc2)C(C(=O)Nc2ncc(CCO)s2)CO1,c1(*)cncc(O)c1|OC*,C1(c2ccc([*])cc2)=C(N)OCC1C(=O)Nc1ncc(C[*])s1,29.525901794433594
O=C(NCC1CCN(CCc2cc(CN(C(=O)c3cc(Cl)cc(-c4cncc(O)c4)c3)C3CC3)ccc2Cl)C(=O)O1)Nc1ccc(Cl)c(C=CCO)c1,c1(*)cncc(O)c1|OC*,C1C(N(C(=O)c2cc([*])cc(Cl)c2)Cc2cc(CCN3CCC(CNC(Nc4ccc(Cl)c(C=C[*])c4)=O)OC3=O)c(Cl)cc2)C1,45.58364486694336
CCc1scc(C(=O)Nc2cc(C3CCN(CCc4ccc(CO)cc4)CC3)c(Cl)cc2C)c1C(=O)NCC#Cc1cncc(O)c1,c1(*)cncc(O)c1|OC*,c1(Cl)cc(C)c(NC(=O)c2csc(CC)c2C(NCC#C[*])=O)cc1C1CCN(CCc2ccc([*])cc2)CC1,30.561569213867188
CC1(CNC(=O)c2ccc(C(=O)NCc3cc(Cl)ccc3OCC(=O)c3ccccc3C(=O)CN3CCN(CCc4ccc(C#CCO)cc4)C3)s2)CCCN1C(=O)c1ccc(Cl)c(-c2cncc(O)c2)c1,c1(*)cncc(O)c1|OC*,O=C(c1sc(C(=O)NCC2(C)N(C(=O)c3ccc(Cl)c([*])c3)CCC2)cc1)NCc1cc(Cl)ccc1OCC(=O)c1ccccc1C(CN1CCN(CCc2ccc(C#C[*])cc2)C1)=O,56.461814880371094
CC1(C)CCN(Cc2ccc(CO)cc2)CC1NC(=O)c1cc(NC(=O)c2ccc(C=Cc3cncc(O)c3)cc2)cc(=O)o1,c1(*)cncc(O)c1|OC*,C(=C[*])c1ccc(C(Nc2cc(C(=O)NC3CN(Cc4ccc([*])cc4)CCc3(C)C)oc(=O)c2)=O)cc1,35.37693786621094
NC(Cc1cncc(O)c1)C(=O)N1CCCC1CNCc1cn(CCO)nn1,c1(*)cncc(O)c1|OC*,N1(C(=O)C(C[*])N)C(CNCc2nnn(C[*])c2)CCC1,22.18217658996582
CC(C)C(=O)N(CC1CCCC1)CC1CC(c2ccc(Cl)cc2Cl)N2CC(C=Cc3n[nH]cc3C(=O)NC(C(=NOC3CN(Cc4ccc(CO)cc4)C(=O)N3)N3CCN(Cc4ccc(COc5cc(Cl)cc(-c6cncc(O)c6)c5)c(Cl)c4)C(c4ccc(Cl)cc4Cl)C3)C(C)C)NC12Cc1ccc(Cl)c(Cl)c1,c1(*)cncc(O)c1|OC*,C1CN(Cc2cc(Cl)c(COc3cc([*])cc(Cl)c3)cc2)C(c2c(Cl)cc(Cl)cc2)CN1C(C(C(C)C)NC(=O)c1c[nH]nc1C=CC(NC1(Cc2ccc(Cl)c(Cl)c2)N2C(c3ccc(Cl)cc3Cl)CC1CN(C(C(C)C)=O)CC1CCCC1)C2)=NOC1CN(Cc2ccc([*])cc2)C(=O)N1,103.05616760253906
CC(N)C1(NCC2Cc3cc(Cl)ccc3C(C(=O)NC(Cc3ccc(Cl)c4ccccc34)C(=O)NCc3ccc(Cl)c(CC(=O)N4CCCC4C(=O)NC(=O)C(Cc4cc(-c5cncc(O)c5)ccn4)NCC(=O)O)c3)N2CC2CCC2)CN(C(=O)N2CCSC2C(=O)CNC2CN(CCNCCCCCO)C2)C1,c1(*)cncc(O)c1|OC*,O=C(N1CCCC1C(=O)NC(C(NCC(O)=O)Cc1nccc([*])c1)=O)Cc1c(Cl)ccc(CNC(=O)C(Cc2c3ccccc3c(Cl)cc2)NC(=O)C2N(CC3CCC3)C(CNC(C(C)N)(CN3C(=O)N4C(SCC4)C(CNC(CN5CCNCCCC[*])C5)=O)C3)Cc3cc(Cl)ccc32)c1,107.02619934082031
